,input,target
0, So I think we can not live if old people could not find siences and tecnologies and they did not developped . ,So I think we would not be alive if our ancestors did not develop sciences and technologies . 
1, So I think we can not live if old people could not find siences and tecnologies and they did not developped . ,So I think we could not live if older people did not develop science and technologies . 
2, So I think we can not live if old people could not find siences and tecnologies and they did not developped . ,So I think we can not live if old people could not find science and technologies and they did not develop . 
3, So I think we can not live if old people could not find siences and tecnologies and they did not developped . ,So I think we can not live if old people can not find the science and technology that has not been developed . 
4, For not use car . ,Not for use with a car . 
5, For not use car . ,Do not use in the car . 
6, For not use car . ,Car not for use . 
7, For not use car . ,Can not use the car . 
8, Here was no promise of morning except that we looked up through the trees we saw how low the forest had swung . ,"Here was no promise of morning , except that we looked up through the trees , and we saw how low the forest had swung . "
9, Here was no promise of morning except that we looked up through the trees we saw how low the forest had swung . ,"Here , there was no promise of morning , except that we looked up through the trees and saw how low the forest had swung . "
10, Here was no promise of morning except that we looked up through the trees we saw how low the forest had swung . ,Here was no promise of morning except that we looked up through the trees and we saw how low the forest had swung . 
11, Here was no promise of morning except that we looked up through the trees we saw how low the forest had swung . ,There was no promise of morning except when we looked up through the trees and saw how low the forest had swung . 
12, Thus even today sex is considered as the least important topic in many parts of India . ,"Thus , even today , sex is considered as the least important topic in may parts of India . "
13, Thus even today sex is considered as the least important topic in many parts of India . ,"Thus , even today , sex is considered the least important topic in many parts of India . "
14, Thus even today sex is considered as the least important topic in many parts of India . ,"Thus , even today , sex is considered the least important topic in many parts of India . "
15, Thus even today sex is considered as the least important topic in many parts of India . ,"Thus , even today sex is considered as the least important topic in many parts of India . "
16," image you salf you are wark in factory just to do one thing like pot taire on car if they fire you you will destroy , becouse u dont know more than pot taire in car . ","Imagine yourself you are working in factory just to do one thing like put air a on car if they fire you you will be destroyed , because you do n't know more than to put air a in car . "
17," image you salf you are wark in factory just to do one thing like pot taire on car if they fire you you will destroy , becouse u dont know more than pot taire in car . ","Imagine that you work in a factory and do just one thing , like put tires on cars ; if they fire you , they will destroy you because you do n't know how to do anything but put tires on cars . "
18," image you salf you are wark in factory just to do one thing like pot taire on car if they fire you you will destroy , becouse u dont know more than pot taire in car . ","image you salf you are wark in factory just to do one thing like pot taire on car if they fire you you will destroy , becouse u dont know more than pot taire in car . "
19," image you salf you are wark in factory just to do one thing like pot taire on car if they fire you you will destroy , becouse u dont know more than pot taire in car . ","Imagine yourself working in a factory. You are to do just one thing , such as put a tire on a car. If you are fired , it will destroy you because you do not know how to do more than put tires on cars . "
20," They draw the consumers , like me , to purchase this great product with all these amazing ingredients and all that but actually they just sometimes make something up just to increase their sales . ","They draw in the consumers , like me , to purchase a great product with amazing ingredients , but actually , they just make up these words to increase their sales . "
21," They draw the consumers , like me , to purchase this great product with all these amazing ingredients and all that but actually they just sometimes make something up just to increase their sales . ","They draw in consumers like me , who purchase this great product with all these amazing ingredients , but sometimes they just make things up to increase their sales . "
22," They draw the consumers , like me , to purchase this great product with all these amazing ingredients and all that but actually they just sometimes make something up just to increase their sales . ","They draw the consumers , like me , to purchase this great product with all these amazing features , but actually sometimes they just make something up just to increase their sales . "
23," They draw the consumers , like me , to purchase this great product with all these amazing ingredients and all that but actually they just sometimes make something up just to increase their sales . ","They draw the consumers , like me , to purchase this great product with all these amazing ingredients and all that , but actually they just sometimes make something up just to increase their sales . "
24," I want to talk about nocive or bad products like alcohol , hair spray and cigarrets . ","I want to talk about nocive or bad products like alcohol , hair spray and cigarettes . "
25," I want to talk about nocive or bad products like alcohol , hair spray and cigarrets . ","I want to talk about harmful or bad products like alcohol , hair spray and cigarettes . "
26," I want to talk about nocive or bad products like alcohol , hair spray and cigarrets . ","I want to talk about harmful or bad products like alcohol , hair spray and cigarettes . "
27," I want to talk about nocive or bad products like alcohol , hair spray and cigarrets . ","I want to talk about harmful or bad products like alcohol , hair spray and cigarettes . "
28, For example they can play football whenever they want but the olders can not . ,"For example , they can play football whenever they want , but the elders cannot . "
29, For example they can play football whenever they want but the olders can not . ,"For example , they can play football whenever they want but the others can not . "
30, For example they can play football whenever they want but the olders can not . ,"For example , they can play football whenever they want but the seniors ca n't . "
31, For example they can play football whenever they want but the olders can not . ,For example they can play football whenever they want but the older ones cannot . 
32," It figures Diana Krall wearing a Rolex watch and has a text that suggests that if the reader wants to belong to the restricted club , not necessarily of Rolex watch wearers , but of highly talented , sophisticated and competent artists , he or she should also have a Rolex . ","It features Diana Krall wearing a Rolex watch and the text suggests that if the reader wants to belong to a restricted club -- not necessarily of Rolex watch-wearers -- but of highly talented , sophisticated , competent artists , then he or she should also have a Rolex . "
33," It figures Diana Krall wearing a Rolex watch and has a text that suggests that if the reader wants to belong to the restricted club , not necessarily of Rolex watch wearers , but of highly talented , sophisticated and competent artists , he or she should also have a Rolex . ","Diana Krall is wearing a Rolex watch and has a text that suggests that if the reader wants to belong to a restricted club , comprised not just of Rolex watch wearers but highly talented , sophisticated and competent artists , he or she should also have a Rolex . "
34," It figures Diana Krall wearing a Rolex watch and has a text that suggests that if the reader wants to belong to the restricted club , not necessarily of Rolex watch wearers , but of highly talented , sophisticated and competent artists , he or she should also have a Rolex . ","It figures Diana Krall is wearing a Rolex watch and has a text that suggests that if the reader wants to belong to the restricted club , not necessarily of Rolex watch wearers , but of highly talented , sophisticated and competent artists , he or she should also have a Rolex . "
35," It figures Diana Krall wearing a Rolex watch and has a text that suggests that if the reader wants to belong to the restricted club , not necessarily of Rolex watch wearers , but of highly talented , sophisticated and competent artists , he or she should also have a Rolex . ","It figures Diana Krall wearing a Rolex watch and has a text that suggests that if the reader wants to belong to the restricted club , not necessarily of Rolex watch wearers , but of highly talented , sophisticated and competent artists , he or she should also have a Rolex . "
36, There are several reason . ,There are several reasons . 
37, There are several reason . ,There are several reasons . 
38, There are several reason . ,There are several reasons . 
39, There are several reason . ,There are several reasons . 
40," Also the work of the media , television , magazines , and every stuff made for publicity affects the emotions of many people around the world , encouraging them to buy and buy anything they can . ","Also , the work of the media , television , magazines and other things made for publicity impacts the emotions of many people around the world , encouraging them to buy everything they can . "
41," Also the work of the media , television , magazines , and every stuff made for publicity affects the emotions of many people around the world , encouraging them to buy and buy anything they can . ","Also , the work of the media , television , magazines , and everything involved in publicity affects the emotions of people around the world , encouraging them to buy anything they can . "
42," Also the work of the media , television , magazines , and every stuff made for publicity affects the emotions of many people around the world , encouraging them to buy and buy anything they can . ","Also , the work of media , television , magazines , and other stuff made for publicity , affects the emotions of many people around the world , encouraging them to buy and buy anything they can . "
43," Also the work of the media , television , magazines , and every stuff made for publicity affects the emotions of many people around the world , encouraging them to buy and buy anything they can . ","Also , the work of the media , television , magazines , and everything made for publicity affects the emotions of many people around the world , encouraging them to buy and buy anything they can . "
44," Since most urban areas are occupied with cars , they are all facing up with an irresistible problem of air and noise pollution . ","Since most urban areas are occupied with cars , they are facing a problem of air and noise pollution . "
45," Since most urban areas are occupied with cars , they are all facing up with an irresistible problem of air and noise pollution . ","Since most urban areas are congested with cars , they all face the terrible problem of air and noise pollution . "
46," Since most urban areas are occupied with cars , they are all facing up with an irresistible problem of air and noise pollution . ","Since most urban areas are occupied with cars , they are all face upped with an irresistible problem of air and noise pollution . "
47," Since most urban areas are occupied with cars , they are all facing up with an irresistible problem of air and noise pollution . ","Since most urban areas are teeming with cars , they are all facing the unavoidable problem of air and noise pollution . "
48," It is true that consumers preffer to buy a product that has a lower price , but when international companies that has already the certification begins to send its market , people will preffer to consume theirs because the difference between prices is probbably not going to affect them to much . ","While it is true that consumers prefer to buy products with lower prices , when international companies that are already certified begin to send their products to market , people will prefer to consume those goods because the difference in price will probably not affect them too much . "
49," It is true that consumers preffer to buy a product that has a lower price , but when international companies that has already the certification begins to send its market , people will preffer to consume theirs because the difference between prices is probbably not going to affect them to much . ","It is true that consumers prefer to buy a product that has a lower price , but when international companies that already have the certification begin to send it to market , people will prefer to buy theirs because the difference between prices is probably not going to affect them too much . "
50," It is true that consumers preffer to buy a product that has a lower price , but when international companies that has already the certification begins to send its market , people will preffer to consume theirs because the difference between prices is probbably not going to affect them to much . ","It is true that consumers prefer to buy a product that has a lower price , but when international companies that already have the certification begin to send it to market , people will prefer to consume theirs because the difference between prices is probably not going to affect them too much . "
51," It is true that consumers preffer to buy a product that has a lower price , but when international companies that has already the certification begins to send its market , people will preffer to consume theirs because the difference between prices is probbably not going to affect them to much . ","It is true that consumers prefer to buy a product that has a lower price , but when international companies that already have the certification begin to enter the market , people will prefer to consume theirs because the difference between prices is probably not going to affect them too much . "
52, 4:they have a big chance to prepare for their future life ,"Fourth , they have a great chance to prepare for their future life . "
53, 4:they have a big chance to prepare for their future life ,Point four is that they have a big chance to prepare for their future life . 
54, 4:they have a big chance to prepare for their future life ,They have a great chance to prepare for their future life . 
55, 4:they have a big chance to prepare for their future life ,They have a good chance to prepare for their future life . 
56, One person if do n't have good health that means so many things they could lost . ,"If a person does n't have good health , so many things could be lost . "
57, One person if do n't have good health that means so many things they could lost . ,"If one person does not have good health , that means they could lose so many things . "
58, One person if do n't have good health that means so many things they could lost . ,"If one person does n't have good health , that means they could lose so many things . "
59, One person if do n't have good health that means so many things they could lost . ,"If one person does n't have good health , that means so many things they could lose . "
60, Many studies over the last 5 0 years have shown that people who have fluoride in their drinking water are considerably have less cavities than people who have not drinking nonfluoridated water . ,Many studies over the last 5 0 years have shown that people who have fluoride in their drinking water have considerably fewer cavities than people who are not drinking water with fluoride . 
61, Many studies over the last 5 0 years have shown that people who have fluoride in their drinking water are considerably have less cavities than people who have not drinking nonfluoridated water . ,Many studies over the last 5 0 years have shown that people who have fluoride in their drinking water are considerably have less cavities than people who have not drinking nonfluoridated water . 
62, Many studies over the last 5 0 years have shown that people who have fluoride in their drinking water are considerably have less cavities than people who have not drinking nonfluoridated water . ,Many studies over the last 5 0 years have shown that people who have fluoride in their drinking water are considerably less likely to have cavities than people who have non-fluoridated water . 
63, Many studies over the last 5 0 years have shown that people who have fluoride in their drinking water are considerably have less cavities than people who have not drinking nonfluoridated water . ,Many studies over the last 5 0 years have shown that people who have fluoride in their drinking water have considerably less cavities than people who have been drinking non-fluoridated water . 
64," Likewise , The theory generating from the concept of memory is also not the appropriate way due to limited memory . ","Likewise , the theory coming from the concept of memory is also not the appropriate way due to limited memory . "
65," Likewise , The theory generating from the concept of memory is also not the appropriate way due to limited memory . ","Likewise , the theory generated from the concept of memory is also not appropriate due to limited memory . "
66," Likewise , The theory generating from the concept of memory is also not the appropriate way due to limited memory . ","Likewise , the theory generating from the concept of memory is also not the appropriate way due to limited memory . "
67," Likewise , The theory generating from the concept of memory is also not the appropriate way due to limited memory . ","Likewise , the theory generating from the concept of memory is also not the appropriate way due to limited memory . "
68, because they spent time unmeaningful subjects . ,They spent time in subjects that were not meaningful . 
69, because they spent time unmeaningful subjects . ,They spent time on unmeaningful subjects . 
70, because they spent time unmeaningful subjects . ,Because they spent time on unmeaningful subjects . 
71, because they spent time unmeaningful subjects . ,Because they spent time on unmeaningful subjects . 
72," I was very fast , my best time was 5 5 seconds in 4 0 0 hundred meters is a good time in or country . ","I was very fast : my best time was 5 5 seconds in 4 0 0 hundred meters , and this is a good time in my country . "
73," I was very fast , my best time was 5 5 seconds in 4 0 0 hundred meters is a good time in or country . ","I was very fast ; my best time was 5 5 seconds for 4 0 0 hundred meters , and that is a good time in or out of this country . "
74," I was very fast , my best time was 5 5 seconds in 4 0 0 hundred meters is a good time in or country . ",I was very fast and my best time was 5 5 seconds in 4 0 0 hundred meters is a good time in or country . 
75," I was very fast , my best time was 5 5 seconds in 4 0 0 hundred meters is a good time in or country . ",I was very fast ; my best time was 5 5 seconds in 4 0 0 hundred meters. That is a good time in or country . 
76, And young people spend time more ther lifestile . ,And young people spend more time on their lifestyles . 
77, And young people spend time more ther lifestile . ,And young people spend more time on their lifestyle . 
78, And young people spend time more ther lifestile . ,And young people spend more time on their lifestyle . 
79, And young people spend time more ther lifestile . ,And young people spend more time pursuing this lifestyle . 
80, If in this society who will not to do study they never concept there opportunity or ca n't understand any ideas so most of the important that in this situation and I also very interestion and also prefer that for the study material . ,"In this society , those who will not study will never grasp the concepts or understand any ideas , which is the most important point ; thus I am also very interested and prefer to have the study materials . "
81, If in this society who will not to do study they never concept there opportunity or ca n't understand any ideas so most of the important that in this situation and I also very interestion and also prefer that for the study material . ,"In this society , those who do not study will never have opportunities or understand ideas that are important in these situations ; I am very interested and prefer study materials . "
82, If in this society who will not to do study they never concept there opportunity or ca n't understand any ideas so most of the important that in this situation and I also very interestion and also prefer that for the study material . ,"If , in this society , there are those who will not study , then they neither comprehend their opportunity nor understand any ideas most important in this situation , which I find very interesting and prefer for study material . "
83, If in this society who will not to do study they never concept there opportunity or ca n't understand any ideas so most of the important that in this situation and I also very interestion and also prefer that for the study material . ,In this society those who will not study never understand the concept nor opportunity or ca n't understand any ideas so most of the importance in that situation is lost and I am also very interesting and also prefer that for the study material . 
84, We have to know this problem it 's serious but almost people doens't know about this . ,"This is a serious problem , but most people are unaware of it . "
85, We have to know this problem it 's serious but almost people doens't know about this . ,We have to know this problem is serious but most people do n't know about this . 
86, We have to know this problem it 's serious but almost people doens't know about this . ,We have to know about this problem because it 's serious but most people do n't know about this . 
87, We have to know this problem it 's serious but almost people doens't know about this . ,We have to know if this problem is serious but most people do n't know about it . 
88, Students can focus on only a few subjects they are intwerested in and they will become an experts in those areas . ,Students can focus on only a few subjects they are interested in and they will become experts in those areas . 
89, Students can focus on only a few subjects they are intwerested in and they will become an experts in those areas . ,Students can focus on only a few subjects they are interested in and they will become experts in those areas . 
90, Students can focus on only a few subjects they are intwerested in and they will become an experts in those areas . ,Students can focus on only a few subjects they are interested in and they will become an expert in those areas . 
91, Students can focus on only a few subjects they are intwerested in and they will become an experts in those areas . ,Students can focus on only a few subjects they are interested in and they will become an expert in those areas . 
92," But in other waythismakes other way country need to pay extra money to make , repair the roads What they did is reduce the amount of gas consumers , high the gas tax , and low the income tax because they thought , only rise the gas tax is unfair . ","But in another way , this means the country needs to pay extra money to build and repair the roads ; what they did is reduce the amount of gas consumed , raise the gas tax , and lower the income tax because they thought only raising the gas tax is unfair . "
93," But in other waythismakes other way country need to pay extra money to make , repair the roads What they did is reduce the amount of gas consumers , high the gas tax , and low the income tax because they thought , only rise the gas tax is unfair . ","But in other ways this makes the other country need to pay extra money to make , repair the roads What they did is reduce the amount of gas consumers , raise the gas tax , and low the income tax because they thought , only raising the gas tax is unfair . "
94," But in other waythismakes other way country need to pay extra money to make , repair the roads What they did is reduce the amount of gas consumers , high the gas tax , and low the income tax because they thought , only rise the gas tax is unfair . ","But in other ways , this creates another way for the country to make extra money to repair the roads ; they did this by reducing the amount of gas consumed by raising the gas tax , and they lowered the income tax because they thought that only raising the gas tax was unfair . "
95," But in other waythismakes other way country need to pay extra money to make , repair the roads What they did is reduce the amount of gas consumers , high the gas tax , and low the income tax because they thought , only rise the gas tax is unfair . ","But in other ways , this caused the country to need to pay extra money to make and repair the roads. What they did was reduce the amount of gas consumers , increase the gas tax , and lower the income tax because they thought that only increasing the gas tax would have been unfair . "
96," Today , MBA students with a background in engineering are in high demand . ","Today , MBA students with a background in engineering are in high demand . "
97," Today , MBA students with a background in engineering are in high demand . ","Today , MBA students with a background in engineering are in high demand . "
98," Today , MBA students with a background in engineering are in high demand . ","Today , MBA students with a background in engineering are in high demand . "
99," Today , MBA students with a background in engineering are in high demand . ","Today , MBA students with a background in engineering are in high demand . "
100, In the case of young people the best way is studying as hard as possible to get better grades so in the future they will have better chance to find better jobs . ,"In the case of young people , the best way is to study as hard as possible to get better grades so in the future they will have a better chance to find a good job . "
101, In the case of young people the best way is studying as hard as possible to get better grades so in the future they will have better chance to find better jobs . ,"In the case of young people , the best way to get better grades and thus have a chance to find better jobs in the future is to study as hard as possible . "
102, In the case of young people the best way is studying as hard as possible to get better grades so in the future they will have better chance to find better jobs . ,"In the case of young people , the best way is to study as hard as possible and get better grades so that in the future they will have a better chance of finding good jobs . "
103, In the case of young people the best way is studying as hard as possible to get better grades so in the future they will have better chance to find better jobs . ,"In the case of young people , the best way is studying as hard as possible to get better grades so in the future they will have better chances to find better jobs . "
104, So the school try learning the students a bit in every science exist . ,So the school tries teaching the students a bit of every science which exists . 
105, So the school try learning the students a bit in every science exist . ,So the school tried teaching the students a bit about every science that exists . 
106, So the school try learning the students a bit in every science exist . ,The school tries to teach the students a bit of every type of science . 
107, So the school try learning the students a bit in every science exist . ,So the school tries teaching the students a bit of every science . 
108, I think they have to get skill on it . ,I think they have to get skilled in it . 
109, I think they have to get skill on it . ,I think they have to put skill into it . 
110, I think they have to get skill on it . ,I think they have to get skill on it . 
111, I think they have to get skill on it . ,I think they have to get skilled at it . 
112, Specializing in one particular subject does not suit our life in this era which is characterized by diversity and innovation ,Specializing in one particular subject does not suit our lives in this era which is characterized by diversity and innovation . 
113, Specializing in one particular subject does not suit our life in this era which is characterized by diversity and innovation ,Specializing in one particular subject does not suit life in this era -- which is characterized by diversity and innovation . 
114, Specializing in one particular subject does not suit our life in this era which is characterized by diversity and innovation ,"Specializing in one particular subject does not suit our life in this era , which is characterized by diversity and innovation . "
115, Specializing in one particular subject does not suit our life in this era which is characterized by diversity and innovation ,Specializing in one particular subject does not suit our lives in this era characterized by diversity and innovation 
116, I will explain my points of views in the following paragraphs . ,I will explain my point of view in the following paragraphs . 
117, I will explain my points of views in the following paragraphs . ,I will explain my points of view in the following paragraphs . 
118, I will explain my points of views in the following paragraphs . ,I will explain my point of views in the following paragraphs . 
119, I will explain my points of views in the following paragraphs . ,I will explain my point of view in the following paragraphs . 
120, He thinks differently from other people and he succeded . ,He thinks differently than others and he has succeeded . 
121, He thinks differently from other people and he succeded . ,He thinks differently than other people and he succeeded . 
122, He thinks differently from other people and he succeded . ,He thinks differently from other people and he has succeeded . 
123, He thinks differently from other people and he succeded . ,He thinks differently from other people and he succeeded . 
124, These activities make the community a better place to live in and inculcate these values in all the members . ,These activities make the community a better place to live and include those values in all the members . 
125, These activities make the community a better place to live in and inculcate these values in all the members . ,These activities make the community a better place to live in and inculcate these values in all the members . 
126, These activities make the community a better place to live in and inculcate these values in all the members . ,These activities make the community a better place to live in and inculcate these values in all its members . 
127, These activities make the community a better place to live in and inculcate these values in all the members . ,These activities make the community a better place to live in and will teach these values to all the members . 
128, Beacuse all those broad knowledge help they to understand their major in university as well as help they to make a correct choice in specializing study . ,"All the broad knowledge helps them to understand their major in University classes , as well as help them to make a correct choice in a specialized area . "
129, Beacuse all those broad knowledge help they to understand their major in university as well as help they to make a correct choice in specializing study . ,Because all that broad knowledge helps them to understand their majors in university and also helps them to make the correct choice in specialized study . 
130, Beacuse all those broad knowledge help they to understand their major in university as well as help they to make a correct choice in specializing study . ,Because of all those broad knowledge help they to understand their major in university as well as help they to make a correct choice in specializing study . 
131, Beacuse all those broad knowledge help they to understand their major in university as well as help they to make a correct choice in specializing study . ,All of that broad knowledge helps them understand their university major and make a correct choice of specialty . 
132, And it was very easy to me to understand why he always brang bad marks at home . ,I could very easily understand why he would always bring bad marks home . 
133, And it was very easy to me to understand why he always brang bad marks at home . ,And it was very easy for me to understand why he always brought bad marks home . 
134, And it was very easy to me to understand why he always brang bad marks at home . ,And it was very easy for me to understand why he always brings bad marks home . 
135, And it was very easy to me to understand why he always brang bad marks at home . ,And it was very easy for me to understand why he always bringing bad marks home . 
136," Then when we went to the Science Olympiad , she could have diverse knowledges about the subects and it was not new for her to think about new things . ","Then , when we went to the Science Olympiad , she had diverse knowledge about the subjects , and it was not new for her to think about new things . "
137," Then when we went to the Science Olympiad , she could have diverse knowledges about the subects and it was not new for her to think about new things . ","Then when we went to the Science Olympiad , she had diverse knowledge about the subjects as it was not unusual for her to think about new things . "
138," Then when we went to the Science Olympiad , she could have diverse knowledges about the subects and it was not new for her to think about new things . ","Then , when we went to the Science Olympiad , she could have diverse knowledge about the subjects and it was not new for her to think about new things . "
139," Then when we went to the Science Olympiad , she could have diverse knowledges about the subects and it was not new for her to think about new things . ","Then , when we went to the Science Olympiad , she would have diverse knowledge about the subjects and it would not be new for her to think about new things . "
140," If every people thinks to learn and understand lots of scientifc subjects , any person will do not do it and as a result of this any science is n't imporeved . ","If every person tries to learn and understand lots of scientific subjects , no person will do it and , as a result of this , no science will be improved . "
141," If every people thinks to learn and understand lots of scientifc subjects , any person will do not do it and as a result of this any science is n't imporeved . ","If every person seeks to learn and understand many scientific subjects , and anyone can or ca n't do it , then the result will be that science wo n't improve . "
142," If every people thinks to learn and understand lots of scientifc subjects , any person will do not do it and as a result of this any science is n't imporeved . ","If every person tries to learn and understand lots of scientific subjects , the result will be improvements in every science . "
143," If every people thinks to learn and understand lots of scientifc subjects , any person will do not do it and as a result of this any science is n't imporeved . ","If every person wants to learn and understand lots of scientific subjects , not every person will be able to do it and as a result of this science is n't improved . "
